"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Independent (No Label)",CAT1769994,824296325889,"Eye For An Eye",,"Chico Loco 40",2026-04-15,"Hip Hop/Rap","Alternative Rap",1,GBRKQ2635817,"Eye For An Eye",,"Chico Loco 40",,,02:27,"Hip Hop/Rap","Alternative Rap"
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,23,USLZJ2607777,"Street Files",,"Chico Loco 40",,,02:14,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,14,USLZJ2607652,"Dark Warzone",,"Chico Loco 40",,,02:47,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,22,USLZJ2608487,"Euro Warzone",,"Chico Loco 40",,,02:26,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,21,USLZJ2607744,"Drill Minimal",,"Chico Loco 40",,,02:29,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,20,USLZJ2607739,"Street Latino",,"Chico Loco 40",,,02:42,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,18,USLZJ2607666,"Street History",,"Chico Loco 40",,,02:24,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,17,USLZJ2607661,"Street Orchestra ll",,"Chico Loco 40",,,02:25,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,16,USLZJ2607659,"Street Flow",,"Chico Loco 40",,,02:25,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,15,USLZJ2607655,"Dark Warzone ll",,"Chico Loco 40",,,02:24,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,1,USLZJ2612703,QUARANTA-FOUR-ZERO,,"Chico Loco 40",,,02:29,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,3,USLZJ2612704,"Dark Street",,"Chico Loco 40",,,02:21,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,19,USLZJ2612706,"Cinematic Pressure",,"Chico Loco 40",,,02:58,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,4,USLZJ2612708,"Aggressive Bounce",,"Chico Loco 40",,,03:14,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,5,USLZJ2612710,Brutal,,"Chico Loco 40",,,02:44,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,6,USLZJ2612711,"Italian Vibe",,"Chico Loco 40",,,02:36,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,7,USLZJ2612713,"Piano Minimal",,"Chico Loco 40",,,02:30,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,8,USLZJ2613030,"No Love",,"Chico Loco 40",,,02:26,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,9,USLZJ2607531,"Dark Synth",,"Chico Loco 40",,,03:36,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,10,USLZJ2607535,"Metaphor Minimal",,"Chico Loco 40",,,03:05,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,11,USLZJ2607538,"Street Orchestra",,"Chico Loco 40",,,02:31,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,12,USLZJ2613027,"Street 40",,"Chico Loco 40",,,02:21,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,13,USLZJ2607650,"Aggressive Bounce ll",,"Chico Loco 40",,,02:58,Instrumental,Instrumental
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,25,USLZJ2608431,"Legend VII",,"Chico Loco 40",,,02:22,Instrumental,Instrumental
