Partner,"Activity Period","Royalty Total"
Spotify,"March 2026",13.657480200000
Spotify,"February 2026",9.981972900000
"Apple Music","February 2026",8.676450100000
Spotify,"January 2026",8.179402900000
"YouTube Streaming","April 2026",7.301045000000
"Apple Music","March 2026",7.164072500000
"YouTube Streaming","March 2026",3.331533800000
"Apple Music","January 2026",2.128214800000
TikTok,"February 2026",2.046507300000
"YouTube Streaming","February 2026",1.862255900000
"YouTube Content ID","March 2026",0.467431200000
"YouTube Content ID","April 2026",0.263438000000
"Facebook / Instagram","February 2026",0.073920200000
"YouTube Content ID","February 2026",0.073083000000
"Facebook / Instagram","January 2026",0.047550600000
"Facebook / Instagram - Revenue Share","February 2026",0.042409200000
"Facebook / Instagram - Revenue Share","January 2026",0.027283900000
"Facebook / Instagram","December 2025",0.009014000000
TikTok,"January 2026",0.008223300000
"Facebook / Instagram - Revenue Share","December 2025",0.005169000000
"Amazon Ad Supported","January 2026",0.005130000000
TikTok,"December 2025",0.004488700000
Audiomack,"January 2026",0.003690200000
Anghami,"January 2026",0.003152000000
"Amazon Prime","March 2026",0.002183000000
Audiomack,"December 2025",0.001957000000
Snap,"January 2026",0.001028000000
Snap,"February 2026",0.000764000000
Snap,"March 2026",0.000386000000
